pilot_id,source,full_name,case_or_booking_id,court_or_agency,court_city,hearing_or_booking_date,dob,middle_initial,notes
P01,maricopa_jc,,,,,,,,,
P02,maricopa_jc,,,,,,,,,
P03,maricopa_jc,,,,,,,,,
P04,maricopa_jc,,,,,,,,,
P05,maricopa_jc,,,,,,,,,
P06,maricopa_jc,,,,,,,,,
P07,maricopa_jc,,,,,,,,,
P08,maricopa_jc,,,,,,,,,
P09,maricopa_jc,,,,,,,,,
P10,maricopa_jc,,,,,,,,,
P11,maricopa_jc,,,,,,,,,
P12,maricopa_jc,,,,,,,,,
P13,mcso_booking,,,,,,,,,
P14,mcso_booking,,,,,,,,,
P15,mcso_booking,,,,,,,,,
P16,mcso_booking,,,,,,,,,
P17,pima_jc,,,,,,,,,
P18,pima_jc,,,,,,,,,
P19,maricopa_jc,,,,,,,,,
P20,maricopa_jc,,,,,,,,,
